mar_diminutif,prod_code,pro_cdA,prodA_designation,CA,CaRea,prod_id,prod_designation,mont25
AEV,AEFB10,AEF,Essais fonctionnels,,,248235,Essais fonctionnels Pour un sens du tunnel de Ambroise Paré,4386.0
AEV,AEFB11,AEF,Essais fonctionnels,,,248289,Essais fonctionnels Pour un sens du tunnel de Chennevières,2019.0
AEV,AEFB13,AEF,Essais fonctionnels,,,248307,Essais fonctionnels Pour un sens du tunnel de Saint-Cloud,4564.0
AEV,AEFB14,AEF,Essais fonctionnels,,,248265,Essais fonctionnels Pour un sens du tunnel de Bellerive,4475.0
AEV,AEFN10,AEF,Essais fonctionnels,13.0,7.0,248325,Essais fonctionnels Pour un sens du tunnel de Bobigny,14476.0
AEV,AEFN11,AEF,Essais fonctionnels,,,248159,Essais fonctionnels Pour un sens du tunnel de Lumen Norton,4556.0
AEV,AEFN12,AEF,Essais fonctionnels,,,248311,Essais fonctionnels Pour un sens du tunnel de La Courneuve,3812.0
AEV,AEFN13,AEF,Essais fonctionnels,10.0,4.0,248343,Essais fonctionnels Pour un sens du tunnel de Landy,11738.0
AEV,AEFN14,AEF,Essais fonctionnels,,,248355,Essais fonctionnels Pour un sens du tunnel de Taverny,4913.0
AEV,AEFO10,AEF,Essais fonctionnels,7.0,2.0,248275,"Essais fonctionnels La Défense  sens W & Bretelle  B3, B4 et B5",10036.0
AEV,AEFO11,AEF,Essais fonctionnels,11.0,4.0,248205,Essais fonctionnels La Défense  sens Y Echangeur Nanterre  sens E  &  Bretelle B1,12116.0
AEV,AEFO12,AEF,Essais fonctionnels,,,248245,Essais fonctionnels Nanterre Centre  sens E,3401.0
AEV,AEFO13,AEF,Essais fonctionnels,4.0,0.0,248297,Essais fonctionnels Nanterre Centre  sens I & Bretelles B7 et B8,5538.0
AEV,AEFO14,AEF,Essais fonctionnels,,,248303,Essais fonctionnels Pour un sens du tunnel de Sévines,3953.0
AEV,AEFO16,AEF,Essais fonctionnels,,,248319,Essais fonctionnels Pour un sens du tunnel de Neuilly,4516.0
AEV,AEPB10,AEP,Maintenance préventive AEV ,12.0,8.0,248305,Maintenance préventive AEV Pour un sens du tunnel de Ambroise Paré,12835.0
AEV,AEPB11,AEP,Maintenance préventive AEV ,,,248147,Maintenance préventive AEV Pour un sens du tunnel de Ambroise Paré,5369.0
AEV,AEPB12,AEP,Maintenance préventive AEV ,,,248219,Maintenance préventive AEV Pour un sens du tunnel de Fontenay,3073.0
AEV,AEPB13,AEP,Maintenance préventive AEV ,13.0,8.0,248347,Maintenance préventive AEV Pour un sens du tunnel de Saint-Cloud,15141.0
AEV,AEPB14,AEP,Maintenance préventive AEV ,12.0,8.0,248331,Maintenance préventive AEV Pour un sens du tunnel de Bellerive,13325.0
AEV,AEPE20,AEP,Maintenance préventive AEV ,22.0,22.0,248329,Maintenance préventive AEV Pour un sens du tunnel de Thiais,22833.0
AEV,AEPE22,AEP,Maintenance préventive AEV ,16.0,12.0,248195,Maintenance préventive AEV Pour un sens du tunnel de Champigny,13644.0
